Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,2.830000,3.040000,2.730000,3.000000,3.000000,341800
2021-05-12,3.050000,3.280000,3.020000,3.080000,3.080000,617300
2021-05-13,3.030000,3.200000,2.820000,2.980000,2.980000,613300
2021-05-14,3.040000,3.140000,3.040000,3.110000,3.110000,273000
2021-05-17,3.110000,3.520000,3.110000,3.500000,3.500000,864700
2021-05-18,3.640000,3.760000,3.360000,3.590000,3.590000,744600
2021-05-19,3.540000,3.700000,3.380000,3.540000,3.540000,640800
2021-05-20,3.610000,3.610000,3.270000,3.520000,3.520000,522700
2021-05-21,3.560000,3.680000,3.520000,3.630000,3.630000,379100
2021-05-24,3.720000,3.820000,3.610000,3.740000,3.740000,342300
2021-05-25,3.780000,3.780000,3.540000,3.560000,3.560000,282900
2021-05-26,3.590000,3.660000,3.420000,3.480000,3.480000,384700
2021-05-27,3.470000,3.550000,3.420000,3.500000,3.500000,275600
2021-05-28,3.500000,3.720000,3.480000,3.690000,3.690000,561200
2021-06-01,3.800000,4.100000,3.800000,3.920000,3.920000,1048800
2021-06-02,3.960000,4.010000,3.820000,3.890000,3.890000,688300
2021-06-03,3.890000,4.050000,3.840000,3.880000,3.880000,571700
2021-06-04,3.890000,3.960000,3.710000,3.750000,3.750000,379300
2021-06-07,3.760000,3.930000,3.760000,3.870000,3.870000,221700
2021-06-08,3.790000,3.910000,3.680000,3.780000,3.780000,383100
2021-06-09,3.790000,3.950000,3.610000,3.850000,3.850000,599700
2021-06-10,3.950000,4.000000,3.830000,3.950000,3.950000,513000
2021-06-11,4.000000,4.460000,4.000000,4.400000,4.400000,1669900
2021-06-14,4.400000,4.670000,4.260000,4.260000,4.260000,1135700
2021-06-15,4.370000,4.550000,4.280000,4.350000,4.350000,510100
2021-06-16,4.350000,4.510000,4.300000,4.400000,4.400000,386700
2021-06-17,4.350000,4.450000,3.910000,4.030000,4.030000,856600
2021-06-18,3.940000,4.200000,3.930000,4.090000,4.090000,432400
2021-06-21,4.100000,4.330000,4.100000,4.320000,4.320000,588200
2021-06-22,4.300000,4.300000,4.160000,4.220000,4.220000,352300
2021-06-23,4.280000,4.390000,4.120000,4.210000,4.210000,748500
2021-06-24,4.190000,4.270000,4.120000,4.250000,4.250000,558300
2021-06-25,4.300000,4.300000,4.150000,4.220000,4.220000,556900
2021-06-28,4.200000,4.200000,3.890000,3.940000,3.940000,797600
2021-06-29,3.980000,4.070000,3.860000,3.880000,3.880000,350000
2021-06-30,3.920000,4.070000,3.860000,4.050000,4.050000,329000
2021-07-01,4.130000,4.270000,4.080000,4.150000,4.150000,456300
2021-07-02,4.130000,4.180000,4.020000,4.070000,4.070000,220200
2021-07-06,4.090000,4.270000,3.950000,4.130000,4.130000,665100
2021-07-07,4.110000,4.140000,3.790000,3.900000,3.900000,601100
2021-07-08,3.720000,4.000000,3.670000,3.900000,3.900000,374400
2021-07-09,3.970000,4.020000,3.910000,3.950000,3.950000,297100
2021-07-12,3.880000,3.960000,3.850000,3.890000,3.890000,145600
2021-07-13,3.870000,3.890000,3.690000,3.760000,3.760000,366500
2021-07-14,3.770000,3.910000,3.490000,3.540000,3.540000,400800
2021-07-15,3.490000,3.600000,3.340000,3.380000,3.380000,411600
2021-07-16,3.410000,3.490000,3.170000,3.210000,3.210000,776900
2021-07-19,2.960000,3.150000,2.820000,2.990000,2.990000,1167700
2021-07-20,3.000000,3.280000,3.000000,3.230000,3.230000,493500
2021-07-21,3.350000,3.610000,3.320000,3.500000,3.500000,624100
2021-07-22,3.520000,3.540000,3.260000,3.380000,3.380000,270100
2021-07-23,3.400000,3.430000,3.170000,3.170000,3.170000,320500
2021-07-26,3.190000,3.370000,3.190000,3.300000,3.300000,138700
2021-07-27,3.250000,3.270000,3.010000,3.040000,3.040000,691700
2021-07-28,3.120000,3.440000,3.090000,3.200000,3.200000,475500
2021-07-29,3.250000,3.400000,3.190000,3.350000,3.350000,223400
2021-07-30,3.320000,3.350000,3.170000,3.290000,3.290000,304600
2021-08-02,3.270000,3.580000,3.210000,3.230000,3.230000,364800
2021-08-03,3.190000,3.270000,3.080000,3.170000,3.170000,249200
2021-08-04,3.070000,3.180000,2.960000,3.020000,3.020000,343200
2021-08-05,3.060000,3.600000,3.060000,3.420000,3.420000,620300
2021-08-06,3.480000,3.820000,3.360000,3.700000,3.700000,729800
2021-08-09,3.620000,3.750000,3.510000,3.720000,3.720000,386900
2021-08-10,3.740000,3.850000,3.700000,3.770000,3.770000,461200
2021-08-11,3.730000,4.120000,3.640000,4.120000,4.120000,621000
2021-08-12,4.020000,4.100000,3.850000,3.940000,3.940000,443000
2021-08-13,3.920000,4.000000,3.790000,3.800000,3.800000,362300
2021-08-16,3.640000,3.710000,3.510000,3.560000,3.560000,432600
2021-08-17,3.510000,3.840000,3.420000,3.580000,3.580000,380000
2021-08-18,3.600000,3.680000,3.470000,3.480000,3.480000,296200
2021-08-19,3.210000,3.440000,3.200000,3.330000,3.330000,736800
2021-08-20,3.290000,3.420000,3.270000,3.330000,3.330000,204900
2021-08-23,3.490000,3.580000,3.450000,3.490000,3.490000,295200
2021-08-24,3.560000,3.730000,3.550000,3.660000,3.660000,410600
2021-08-25,3.730000,3.810000,3.600000,3.730000,3.730000,325700
2021-08-26,3.700000,3.820000,3.610000,3.750000,3.750000,205300
2021-08-27,3.780000,3.950000,3.760000,3.790000,3.790000,592300
2021-08-30,3.750000,3.840000,3.620000,3.620000,3.620000,250600
2021-08-31,3.630000,3.750000,3.550000,3.660000,3.660000,158400
2021-09-01,3.690000,3.750000,3.610000,3.720000,3.720000,177200
2021-09-02,3.740000,3.980000,3.740000,3.820000,3.820000,248600
2021-09-03,3.870000,3.900000,3.700000,3.790000,3.790000,259400
2021-09-07,3.760000,3.880000,3.680000,3.730000,3.730000,125000
2021-09-08,3.730000,3.770000,3.610000,3.650000,3.650000,225100
2021-09-09,3.630000,3.730000,3.590000,3.660000,3.660000,116800
2021-09-10,3.730000,3.790000,3.610000,3.620000,3.620000,189000
2021-09-13,3.720000,4.010000,3.700000,3.880000,3.880000,502700
2021-09-14,3.980000,4.080000,3.780000,3.790000,3.790000,405600
2021-09-15,3.870000,4.100000,3.860000,4.100000,4.100000,610200
2021-09-16,4.060000,4.200000,4.000000,4.190000,4.190000,314700
2021-09-17,4.140000,4.200000,4.110000,4.180000,4.180000,252500
2021-09-20,3.960000,4.100000,3.810000,3.830000,3.830000,466600
2021-09-21,3.880000,3.940000,3.750000,3.870000,3.870000,252900
2021-09-22,3.970000,4.180000,3.950000,4.090000,4.090000,284100
2021-09-23,4.120000,4.470000,4.060000,4.450000,4.450000,667200
2021-09-24,4.380000,4.540000,4.360000,4.460000,4.460000,301000
2021-09-27,4.600000,4.860000,4.560000,4.820000,4.820000,635600
2021-09-28,4.920000,5.180000,4.780000,4.930000,4.930000,1185000
2021-09-29,4.980000,5.100000,4.730000,5.080000,5.080000,588600
2021-09-30,5.050000,5.400000,4.960000,5.320000,5.320000,587800
2021-10-01,5.370000,5.780000,5.370000,5.750000,5.750000,1152800
2021-10-04,2.880000,3.750000,2.700000,3.230000,3.230000,61572600
2021-10-05,3.450000,3.620000,2.990000,3.210000,3.210000,14076100
2021-10-06,3.220000,3.350000,2.850000,2.900000,2.900000,5858100
2021-10-07,3.000000,3.570000,2.860000,3.400000,3.400000,11421400
2021-10-08,3.400000,3.500000,3.150000,3.430000,3.430000,4168500
2021-10-11,3.530000,4.100000,3.510000,3.980000,3.980000,8198500
2021-10-12,4.010000,4.210000,3.710000,3.900000,3.900000,3851400
2021-10-13,3.820000,3.820000,3.570000,3.750000,3.750000,2074700
2021-10-14,3.710000,3.840000,3.610000,3.770000,3.770000,2214900
2021-10-15,3.890000,3.890000,3.650000,3.660000,3.660000,1231900
2021-10-18,3.850000,4.060000,3.850000,3.980000,3.980000,3430200
2021-10-19,4.020000,4.060000,3.850000,3.900000,3.900000,1932000
